Baseline 100%T,,UV_511359d7-df0d-4018-bfee-ff58585b5809,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
399.9809875,0.5305664539,399.9809875,-0.04188617691,
399.5160828,0.5307365656,399.5160828,-0.04130810872,
399.0124512,0.5301176906,399.0124512,-0.0454605557,
398.508728,0.5278193951,398.508728,-0.03778131306,
398.0050049,0.5317515731,398.0050049,-0.03838665038,
397.5012207,0.5386812091,397.5012207,-0.03850795701,
396.997406,0.5381806493,396.997406,-0.03741772473,
396.4935608,0.5336497426,396.4935608,-0.04139975458,
395.9896545,0.5362015963,395.9896545,-0.04664735124,
395.4857178,0.5295372009,395.4857178,-0.03651688993,
394.9817505,0.5232514739,394.9817505,-0.04334424809,
394.51651,0.5182940364,394.51651,-0.03696858883,
394.0124512,0.52565521,394.0124512,-0.0398119539,
393.5083618,0.5424402952,393.5083618,-0.03894059733,
393.0042114,0.5501340628,393.0042114,-0.04514715821,
392.500061,0.5396385789,392.500061,-0.03845981881,
391.9958191,0.5253565311,391.9958191,-0.03558256105,
391.4915771,0.5189490318,391.4915771,-0.03701056913,
390.9872742,0.5362358689,390.9872742,-0.0437474288,
390.4829407,0.5558153391,390.4829407,-0.04261185974,
390.0173645,0.5615777373,390.0173645,-0.04115358368,
389.5129395,0.5465983152,389.5129395,-0.04639906436,
389.0084839,0.5385474563,389.0084839,-0.03266585246,
388.5039978,0.5328561664,388.5039978,-0.03707626835,
387.9994507,0.5282876492,387.9994507,-0.03817646205,
387.4949036,0.5301426053,387.4949036,-0.04207174107,
386.9902649,0.5243500471,386.9902649,-0.03971718624,
386.4856262,0.537796855,386.4856262,-0.04205435514,
385.980957,0.5427806377,385.980957,-0.03391968459,
385.5150452,0.5445249677,385.5150452,-0.02920285054,
385.0102844,0.5374013186,385.0102844,-0.03155987337,
384.5054626,0.5404235721,384.5054626,-0.03279131278,
384.0006409,0.5334516168,384.0006409,-0.0340346843,
383.4957886,0.534553647,383.4957886,-0.03890505061,
382.9908142,0.5369035602,382.9908142,-0.03585669771,
382.4859009,0.5494326949,382.4859009,-0.04263842106,
381.980896,0.5517914891,381.980896,-0.03394247591,
381.514679,0.5420305729,381.514679,-0.03287997097,
381.009613,0.5350725055,381.009613,-0.03345406801,
380.5045166,0.5322753787,380.5045166,-0.03224782273,
379.9993286,0.5329096913,379.9993286,-0.03902393952,
379.4941711,0.5333442092,379.4941711,-0.04222814739,
378.9889526,0.5373452306,378.9889526,-0.03892483562,
378.4836426,0.5337991714,378.4836426,-0.03499207273,
378.0172424,0.5323602557,378.0172424,-0.03862420842,
377.5118713,0.5238485932,377.5118713,-0.03935403377,
377.0065002,0.526669383,377.0065002,-0.03617101163,
376.5010986,0.5526928902,376.5010986,-0.03920425102,
375.995636,0.5641934872,375.995636,-0.04091123119,
375.4901123,0.551533401,375.4901123,-0.04320455343,
374.9846191,0.5432778597,374.9846191,-0.03906056657,
374.5179138,0.5503003001,374.5179138,-0.04517114162,
374.0122986,0.5439235568,374.0122986,-0.03592900559,
373.5066833,0.5429797769,373.5066833,-0.03900250047,
373.000946,0.5458293557,373.000946,-0.03685731068,
372.4952393,0.5418463945,372.4952393,-0.04185881466,
371.989502,0.5400821567,371.989502,-0.03858546168,
371.4837036,0.5367516279,371.4837036,-0.03625984117,
371.0167847,0.535269618,371.0167847,-0.0356720835,
370.5109253,0.5460413694,370.5109253,-0.03861085325,
370.0050049,0.5453409553,370.0050049,-0.0378212221,
369.499054,0.5533671975,369.499054,-0.03654835001,
368.9930725,0.5469106436,368.9930725,-0.03359669447,
368.4870911,0.5424179435,368.4870911,-0.03980288282,
367.9809875,0.5414773226,367.9809875,-0.0387423709,
367.5138245,0.5441798568,367.5138245,-0.03923362494,
367.0076904,0.5384570956,367.0076904,-0.03555031493,
366.5015259,0.5422767401,366.5015259,-0.03522667289,
365.9953308,0.5492475629,365.9953308,-0.04082782567,
365.4890747,0.5521824956,365.4890747,-0.03859872743,
364.9828186,0.5518659353,364.9828186,-0.03577088565,
364.5154114,0.5461682677,364.5154114,-0.03153897822,
364.0090637,0.5448799133,364.0090637,-0.03800549731,
363.5026855,0.5455203652,363.5026855,-0.03222547099,
362.9963074,0.5434666872,362.9963074,-0.03189847618,
362.4897766,0.531121552,362.4897766,-0.03839508444,
361.9833069,0.5033023357,361.9833069,-0.03687500209,
361.5157166,0.5286595225,361.5157166,-0.03115051053,
361.0091858,0.554993093,361.0091858,-0.03078445978,
360.5025635,0.581189394,360.5025635,-0.04151697829,
359.9959106,0.5759113431,359.9959106,-0.03420621529,
359.4892273,0.5655714869,359.4892273,-0.03538957611,
358.9825134,0.5689532161,358.9825134,-0.03856731951,
358.51474,0.5610845685,358.51474,-0.03133002296,
358.0079651,0.5531605482,358.0079651,-0.02718825825,
357.5011292,0.5383034945,357.5011292,-0.02967401221,
356.9942627,0.548222065,356.9942627,-0.03043359704,
356.4873657,0.5852316022,356.4873657,-0.03657281399,
356.0194397,0.5813263655,356.0194397,-0.02155695111,
355.5124817,0.5575219393,355.5124817,-0.02896056324,
355.0054932,0.5568270087,355.0054932,-0.03230189532,
354.4984131,0.5677628517,354.4984131,-0.03640659526,
353.9913635,0.559281528,353.9913635,-0.02959335223,
353.4842529,0.5540245175,353.4842529,-0.02974373102,
353.0161133,0.5621697307,353.0161133,-0.03164320067,
352.5089111,0.5684608817,352.5089111,-0.02888616547,
352.001709,0.5677664876,352.001709,-0.03289417922,
351.4944458,0.5603735447,351.4944458,-0.03453683108,
350.9871521,0.5599669218,350.9871521,-0.0320911929,
350.5188599,0.5515642166,350.5188599,-0.03618163243,
350.0115356,0.5583808422,350.0115356,-0.02783926763,
349.5041504,0.5596140027,349.5041504,-0.02814575098,
348.9967041,0.5627247095,348.9967041,-0.02370254695,
348.4892273,0.5602516532,348.4892273,-0.02426250838,
347.9817505,0.5560316443,347.9817505,-0.02978448384,
347.5132446,0.5501115322,347.5132446,-0.02710290253,
347.0056763,0.5442814231,347.0056763,-0.02449279837,
346.4980774,0.5421378016,346.4980774,-0.02783140168,
345.9904175,0.548304975,345.9904175,-0.03456604481,
345.4827576,0.5562511086,345.4827576,-0.03650322929,
345.0140991,0.5610376,345.0140991,-0.02598089166,
344.5063782,0.5589693189,344.5063782,-0.02804728597,
343.9985962,0.5643546581,343.9985962,-0.0283465907,
343.4908142,0.5643908978,343.4908142,-0.02924602479,
342.9829407,0.5733134747,342.9829407,-0.03097323701,
342.5141296,0.5711052418,342.5141296,-0.0382183753,
342.0061951,0.5623420477,342.0061951,-0.03140761703,
341.4982605,0.558739841,341.4982605,-0.0269674696,
340.9902954,0.5614013076,340.9902954,-0.02777740173,
340.4822388,0.5656803846,340.4822388,-0.02711783536,
340.0133057,0.55847013,340.0133057,-0.0231503062,
339.5052185,0.5567261577,339.5052185,-0.0253251344,
338.9971008,0.5549830794,338.9971008,-0.02168802544,
338.4889526,0.5532386303,338.4889526,-0.0296902582,
337.9807739,0.5505869985,337.9807739,-0.02891900577,
337.5116272,0.5619876981,337.5116272,-0.02890525013,
337.0033569,0.5560373068,337.0033569,-0.02220671251,
336.4950562,0.5588951111,336.4950562,-0.02434954792,
335.9867554,0.561265111,335.9867554,-0.0216112379,
335.5174866,0.557900548,335.5174866,-0.02265593968,
335.0091248,0.5623196959,335.0091248,-0.02531927265,
334.5007019,0.5598945618,334.5007019,-0.02663614787,
333.9922485,0.5563184619,333.9922485,-0.03117855452,
333.4837341,0.5562464595,333.4837341,-0.02387458086,
333.0143433,0.5570226908,333.0143433,-0.02403434925,
332.5057678,0.5692403316,332.5057678,-0.0292067714,
331.9971924,0.5707429647,331.9971924,-0.02982189693,
331.4885559,0.5707617402,331.4885559,-0.02486379631,
331.019043,0.5654535294,331.019043,-0.02883336134,
330.5103455,0.5664382577,330.5103455,-0.02061403356,
330.0016174,0.5619833469,330.0016174,-0.02656782791,
329.4928589,0.560664773,329.4928589,-0.02612867579,
328.9840698,0.5605891943,328.9840698,-0.02955528907,
328.5144043,0.562869668,328.5144043,-0.0270815976,
328.0055542,0.5692749023,328.0055542,-0.02748834714,
327.4966431,0.5641072989,327.4966431,-0.02093034238,
326.9877014,0.557908237,326.9877014,-0.02323496714,
326.5179443,0.5527667403,326.5179443,-0.03074679151,
326.0089417,0.5524585843,326.0089417,-0.02208903059,
325.499939,0.5718380213,325.499939,-0.01833239757,
